0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> dw2.i_category,dw2.i_class,dw2.i_brand,dw2.i_product_name,dw2.d_year,dw2.d_qoy,dw2.d_moy,dw2.s_store_id,dw2.sumsales,dw2.rk
,basketball,NULL,NULL,NULL,NULL,NULL,NULL,1.887373764018709E8,51
,bracelets,NULL,NULL,NULL,NULL,NULL,NULL,1.2309783800732258E8,90
,country,NULL,NULL,NULL,NULL,NULL,NULL,3.242263037594359E8,21
,country,,NULL,NULL,NULL,NULL,NULL,1.4101594042749387E8,78
,country,importoscholar #1,NULL,NULL,NULL,NULL,NULL,1.2032402804371382E8,93
,custom,NULL,NULL,NULL,NULL,NULL,NULL,1.902717646796423E8,49
,decor,NULL,NULL,NULL,NULL,NULL,NULL,1.9434847418400866E8,47
,diamonds,NULL,NULL,NULL,NULL,NULL,NULL,2.0332459324484625E8,40
,diamonds,,NULL,NULL,NULL,NULL,NULL,1.3040885066707529E8,85
,dresses,NULL,NULL,NULL,NULL,NULL,NULL,3.837442173737851E8,15
,dresses,,NULL,NULL,NULL,NULL,NULL,2.0305525516061044E8,41
,dvd/vcr players,NULL,NULL,NULL,NULL,NULL,NULL,2.125009223119773E8,36
,earings,NULL,NULL,NULL,NULL,NULL,NULL,2.0046779486567542E8,44
,fragrances,NULL,NULL,NULL,NULL,NULL,NULL,2.3282862240211233E8,31
,history,NULL,NULL,NULL,NULL,NULL,NULL,1.8659165731699684E8,53
,history,,NULL,NULL,NULL,NULL,NULL,1.3491368225487316E8,82
,history,,,NULL,NULL,NULL,NULL,1.3491368225487316E8,82
,infants,NULL,NULL,NULL,NULL,NULL,NULL,3.6717950985225546E8,16
,infants,,NULL,NULL,NULL,NULL,NULL,2.0208493042380127E8,42
,infants,,,NULL,NULL,NULL,NULL,1.4401951926930156E8,74
,kids,NULL,NULL,NULL,NULL,NULL,NULL,1.8815582927092364E8,52
,kids,,NULL,NULL,NULL,NULL,NULL,1.4037923339166427E8,79
,maternity,NULL,NULL,NULL,NULL,NULL,NULL,2.5426704756712672E8,28
,maternity,,NULL,NULL,NULL,NULL,NULL,1.8967544041529033E8,50
,memory,NULL,NULL,NULL,NULL,NULL,NULL,2.860302196064925E8,23
,memory,,NULL,NULL,NULL,NULL,NULL,1.4768549347235882E8,71
,mens,NULL,NULL,NULL,NULL,NULL,NULL,1.290704302421444E8,87
,newborn,NULL,NULL,NULL,NULL,NULL,NULL,4.9947617113727635E8,9
,newborn,,NULL,NULL,NULL,NULL,NULL,2.0640973842377344E8,37
,newborn,amalgexporti #1,NULL,NULL,NULL,NULL,NULL,1.1748683259156118E8,99
,newborn,amalgexporti #2,NULL,NULL,NULL,NULL,NULL,1.7557960012194166E8,58
,pants,NULL,NULL,NULL,NULL,NULL,NULL,3.5936597103019065E8,17
,pants,,NULL,NULL,NULL,NULL,NULL,1.5428293580273852E8,65
,pants,exportiimporto #2,NULL,NULL,NULL,NULL,NULL,1.2729384654489408E8,88
,pools,NULL,NULL,NULL,NULL,NULL,NULL,1.1882805483001494E8,98
,pop,NULL,NULL,NULL,NULL,NULL,NULL,2.5155937795961273E8,29
,pop,exportischolar #2,NULL,NULL,NULL,NULL,NULL,1.1922613704230806E8,96
,rock,NULL,NULL,NULL,NULL,NULL,NULL,2.834446361000918E8,26
,rock,,NULL,NULL,NULL,NULL,NULL,2.480529765003629E8,30
,rock,,,NULL,NULL,NULL,NULL,1.996323952247489E8,45
,rock,,,1999,NULL,NULL,NULL,1.6436945439909875E8,62
,school-uniforms,NULL,NULL,NULL,NULL,NULL,NULL,1.556608525014609E8,64
,science,NULL,NULL,NULL,NULL,NULL,NULL,1.5261165093918455E8,67
,shirts,NULL,NULL,NULL,NULL,NULL,NULL,4.54507860631082E8,10
,shirts,,NULL,NULL,NULL,NULL,NULL,1.6087079440768427E8,63
,shirts,importoimporto #1,NULL,NULL,NULL,NULL,NULL,1.7964549369410053E8,55
,shirts,importoimporto #1,,NULL,NULL,NULL,NULL,1.1886997031699258E8,97
,sports-apparel,NULL,NULL,NULL,NULL,NULL,NULL,3.4262923574991053E8,19
,sports-apparel,,NULL,NULL,NULL,NULL,NULL,2.0090224238308325E8,43
,swimwear,NULL,NULL,NULL,NULL,NULL,NULL,4.086058958393204E8,14
,swimwear,,NULL,NULL,NULL,NULL,NULL,1.970345106853778E8,46
,swimwear,edu packamalg #1,NULL,NULL,NULL,NULL,NULL,1.4144435268564722E8,76
,televisions,NULL,NULL,NULL,NULL,NULL,NULL,2.2649778757402733E8,34
,televisions,,NULL,NULL,NULL,NULL,NULL,1.9102388564948723E8,48
,toddlers,NULL,NULL,NULL,NULL,NULL,NULL,3.286874684402093E8,20
,toddlers,,NULL,NULL,NULL,NULL,NULL,2.3129140848968273E8,32
,travel,NULL,NULL,NULL,NULL,NULL,NULL,1.1952759755726397E8,94
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
